case_id,family,difficulty,mind_successes,direct_successes,mind_rate,direct_rate,paired_difference
m16.cohort_a.calculator.easy.01,calculator,easy,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.easy.02,calculator,easy,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.easy.03,calculator,easy,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.easy.04,calculator,easy,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.easy.05,calculator,easy,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.easy.06,calculator,easy,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.easy.07,calculator,easy,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.easy.08,calculator,easy,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.easy.09,calculator,easy,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.easy.10,calculator,easy,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.easy.11,calculator,easy,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.easy.12,calculator,easy,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.easy.13,calculator,easy,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.easy.14,calculator,easy,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.easy.15,calculator,easy,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.easy.16,calculator,easy,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.hard.01,calculator,hard,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.hard.02,calculator,hard,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.hard.03,calculator,hard,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.hard.04,calculator,hard,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.hard.05,calculator,hard,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.hard.06,calculator,hard,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.hard.07,calculator,hard,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.hard.08,calculator,hard,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.hard.09,calculator,hard,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.hard.10,calculator,hard,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.hard.11,calculator,hard,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.hard.12,calculator,hard,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.hard.13,calculator,hard,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.hard.14,calculator,hard,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.hard.15,calculator,hard,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.hard.16,calculator,hard,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.medium.01,calculator,medium,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.medium.02,calculator,medium,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.medium.03,calculator,medium,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.medium.04,calculator,medium,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.medium.05,calculator,medium,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.medium.06,calculator,medium,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.medium.07,calculator,medium,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.medium.08,calculator,medium,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.medium.09,calculator,medium,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.medium.10,calculator,medium,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.medium.11,calculator,medium,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.medium.12,calculator,medium,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.medium.13,calculator,medium,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.medium.14,calculator,medium,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.medium.15,calculator,medium,5,5,1.0,1.0,0.0
m16.cohort_a.calculator.medium.16,calculator,medium,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.easy.01,direct_answer,easy,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.easy.02,direct_answer,easy,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.easy.03,direct_answer,easy,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.easy.04,direct_answer,easy,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.easy.05,direct_answer,easy,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.easy.06,direct_answer,easy,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.easy.07,direct_answer,easy,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.easy.08,direct_answer,easy,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.easy.09,direct_answer,easy,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.easy.10,direct_answer,easy,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.easy.11,direct_answer,easy,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.easy.12,direct_answer,easy,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.easy.13,direct_answer,easy,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.easy.14,direct_answer,easy,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.easy.15,direct_answer,easy,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.easy.16,direct_answer,easy,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.hard.01,direct_answer,hard,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.hard.02,direct_answer,hard,5,0,1.0,0.0,1.0
m16.cohort_a.direct_answer.hard.03,direct_answer,hard,5,1,1.0,0.2,0.8
m16.cohort_a.direct_answer.hard.04,direct_answer,hard,5,0,1.0,0.0,1.0
m16.cohort_a.direct_answer.hard.05,direct_answer,hard,5,1,1.0,0.2,0.8
m16.cohort_a.direct_answer.hard.06,direct_answer,hard,5,0,1.0,0.0,1.0
m16.cohort_a.direct_answer.hard.07,direct_answer,hard,5,0,1.0,0.0,1.0
m16.cohort_a.direct_answer.hard.08,direct_answer,hard,5,1,1.0,0.2,0.8
m16.cohort_a.direct_answer.hard.09,direct_answer,hard,5,4,1.0,0.8,0.2
m16.cohort_a.direct_answer.hard.10,direct_answer,hard,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.hard.11,direct_answer,hard,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.hard.12,direct_answer,hard,5,0,1.0,0.0,1.0
m16.cohort_a.direct_answer.hard.13,direct_answer,hard,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.hard.14,direct_answer,hard,5,0,1.0,0.0,1.0
m16.cohort_a.direct_answer.hard.15,direct_answer,hard,5,0,1.0,0.0,1.0
m16.cohort_a.direct_answer.hard.16,direct_answer,hard,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.medium.01,direct_answer,medium,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.medium.02,direct_answer,medium,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.medium.03,direct_answer,medium,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.medium.04,direct_answer,medium,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.medium.05,direct_answer,medium,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.medium.06,direct_answer,medium,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.medium.07,direct_answer,medium,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.medium.08,direct_answer,medium,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.medium.09,direct_answer,medium,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.medium.10,direct_answer,medium,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.medium.11,direct_answer,medium,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.medium.12,direct_answer,medium,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.medium.13,direct_answer,medium,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.medium.14,direct_answer,medium,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.medium.15,direct_answer,medium,5,5,1.0,1.0,0.0
m16.cohort_a.direct_answer.medium.16,direct_answer,medium,5,5,1.0,1.0,0.0
