baseline_id,family,difficulty,repetition,failure_category,count,rate
mind_lite_v1,calculator,easy,1,success,16,1.0
mind_lite_v1,calculator,easy,2,success,16,1.0
mind_lite_v1,calculator,easy,3,success,16,1.0
mind_lite_v1,calculator,easy,4,success,16,1.0
mind_lite_v1,calculator,easy,5,success,16,1.0
mind_lite_v1,calculator,medium,1,success,16,1.0
mind_lite_v1,calculator,medium,2,success,16,1.0
mind_lite_v1,calculator,medium,3,success,16,1.0
mind_lite_v1,calculator,medium,4,success,16,1.0
mind_lite_v1,calculator,medium,5,success,16,1.0
mind_lite_v1,calculator,hard,1,success,16,1.0
mind_lite_v1,calculator,hard,2,success,16,1.0
mind_lite_v1,calculator,hard,3,success,16,1.0
mind_lite_v1,calculator,hard,4,success,16,1.0
mind_lite_v1,calculator,hard,5,success,16,1.0
mind_lite_v1,direct_answer,easy,1,success,16,1.0
mind_lite_v1,direct_answer,easy,2,success,16,1.0
mind_lite_v1,direct_answer,easy,3,success,16,1.0
mind_lite_v1,direct_answer,easy,4,success,16,1.0
mind_lite_v1,direct_answer,easy,5,success,16,1.0
mind_lite_v1,direct_answer,medium,1,success,16,1.0
mind_lite_v1,direct_answer,medium,2,success,16,1.0
mind_lite_v1,direct_answer,medium,3,success,16,1.0
mind_lite_v1,direct_answer,medium,4,success,16,1.0
mind_lite_v1,direct_answer,medium,5,success,16,1.0
mind_lite_v1,direct_answer,hard,1,success,16,1.0
mind_lite_v1,direct_answer,hard,2,success,16,1.0
mind_lite_v1,direct_answer,hard,3,success,16,1.0
mind_lite_v1,direct_answer,hard,4,success,16,1.0
mind_lite_v1,direct_answer,hard,5,success,16,1.0
direct_tool_calling,calculator,easy,1,success,16,1.0
direct_tool_calling,calculator,easy,2,success,16,1.0
direct_tool_calling,calculator,easy,3,success,16,1.0
direct_tool_calling,calculator,easy,4,success,16,1.0
direct_tool_calling,calculator,easy,5,success,16,1.0
direct_tool_calling,calculator,medium,1,success,16,1.0
direct_tool_calling,calculator,medium,2,success,16,1.0
direct_tool_calling,calculator,medium,3,success,16,1.0
direct_tool_calling,calculator,medium,4,success,16,1.0
direct_tool_calling,calculator,medium,5,success,16,1.0
direct_tool_calling,calculator,hard,1,success,16,1.0
direct_tool_calling,calculator,hard,2,success,16,1.0
direct_tool_calling,calculator,hard,3,success,16,1.0
direct_tool_calling,calculator,hard,4,success,16,1.0
direct_tool_calling,calculator,hard,5,success,16,1.0
direct_tool_calling,direct_answer,easy,1,success,16,1.0
direct_tool_calling,direct_answer,easy,2,success,16,1.0
direct_tool_calling,direct_answer,easy,3,success,16,1.0
direct_tool_calling,direct_answer,easy,4,success,16,1.0
direct_tool_calling,direct_answer,easy,5,success,16,1.0
direct_tool_calling,direct_answer,medium,1,success,16,1.0
direct_tool_calling,direct_answer,medium,2,success,16,1.0
direct_tool_calling,direct_answer,medium,3,success,16,1.0
direct_tool_calling,direct_answer,medium,4,success,16,1.0
direct_tool_calling,direct_answer,medium,5,success,16,1.0
direct_tool_calling,direct_answer,hard,1,success,6,0.375
direct_tool_calling,direct_answer,hard,1,wrong_answer,10,0.625
direct_tool_calling,direct_answer,hard,2,success,6,0.375
direct_tool_calling,direct_answer,hard,2,wrong_answer,10,0.625
direct_tool_calling,direct_answer,hard,3,success,7,0.4375
direct_tool_calling,direct_answer,hard,3,wrong_answer,9,0.5625
direct_tool_calling,direct_answer,hard,4,success,7,0.4375
direct_tool_calling,direct_answer,hard,4,wrong_answer,9,0.5625
direct_tool_calling,direct_answer,hard,5,success,6,0.375
direct_tool_calling,direct_answer,hard,5,wrong_answer,10,0.625
